"","route","region","nyears","matssname"
"1",1,2,28,"bbs_rtrg_1_2"
"2",1,14,29,"bbs_rtrg_1_14"
"3",1,17,27,"bbs_rtrg_1_17"
"4",1,21,29,"bbs_rtrg_1_21"
"5",1,34,27,"bbs_rtrg_1_34"
"6",1,36,27,"bbs_rtrg_1_36"
"7",1,46,27,"bbs_rtrg_1_46"
"8",1,47,28,"bbs_rtrg_1_47"
"9",1,52,27,"bbs_rtrg_1_52"
"10",1,54,27,"bbs_rtrg_1_54"
"11",1,58,30,"bbs_rtrg_1_58"
"12",1,64,29,"bbs_rtrg_1_64"
"13",1,76,30,"bbs_rtrg_1_76"
"14",1,81,27,"bbs_rtrg_1_81"
"15",1,82,27,"bbs_rtrg_1_82"
"16",1,83,28,"bbs_rtrg_1_83"
"17",1,89,29,"bbs_rtrg_1_89"
"18",2,4,28,"bbs_rtrg_2_4"
"19",2,33,27,"bbs_rtrg_2_33"
"20",2,34,30,"bbs_rtrg_2_34"
"21",2,36,30,"bbs_rtrg_2_36"
"22",2,45,30,"bbs_rtrg_2_45"
"23",2,52,28,"bbs_rtrg_2_52"
"24",2,53,30,"bbs_rtrg_2_53"
"25",2,59,27,"bbs_rtrg_2_59"
"26",2,60,27,"bbs_rtrg_2_60"
"27",2,63,30,"bbs_rtrg_2_63"
"28",2,72,27,"bbs_rtrg_2_72"
"29",2,80,27,"bbs_rtrg_2_80"
"30",2,89,30,"bbs_rtrg_2_89"
"31",2,91,27,"bbs_rtrg_2_91"
"32",2,92,29,"bbs_rtrg_2_92"
"33",3,18,28,"bbs_rtrg_3_18"
"34",3,21,29,"bbs_rtrg_3_21"
"35",3,34,29,"bbs_rtrg_3_34"
"36",3,36,29,"bbs_rtrg_3_36"
"37",3,39,29,"bbs_rtrg_3_39"
"38",3,44,28,"bbs_rtrg_3_44"
"39",3,46,30,"bbs_rtrg_3_46"
"40",3,50,29,"bbs_rtrg_3_50"
"41",3,58,30,"bbs_rtrg_3_58"
"42",3,59,29,"bbs_rtrg_3_59"
"43",3,63,28,"bbs_rtrg_3_63"
"44",3,69,27,"bbs_rtrg_3_69"
"45",3,76,28,"bbs_rtrg_3_76"
"46",3,80,30,"bbs_rtrg_3_80"
"47",3,81,30,"bbs_rtrg_3_81"
"48",3,82,27,"bbs_rtrg_3_82"
"49",3,89,27,"bbs_rtrg_3_89"
"50",3,91,29,"bbs_rtrg_3_91"
"51",4,4,28,"bbs_rtrg_4_4"
"52",4,7,28,"bbs_rtrg_4_7"
"53",4,17,29,"bbs_rtrg_4_17"
"54",4,44,27,"bbs_rtrg_4_44"
"55",4,46,29,"bbs_rtrg_4_46"
"56",4,58,30,"bbs_rtrg_4_58"
"57",4,60,29,"bbs_rtrg_4_60"
"58",4,63,29,"bbs_rtrg_4_63"
"59",4,64,27,"bbs_rtrg_4_64"
"60",4,72,27,"bbs_rtrg_4_72"
"61",4,76,28,"bbs_rtrg_4_76"
"62",4,82,27,"bbs_rtrg_4_82"
"63",4,85,28,"bbs_rtrg_4_85"
"64",4,88,29,"bbs_rtrg_4_88"
"65",4,89,30,"bbs_rtrg_4_89"
"66",4,91,30,"bbs_rtrg_4_91"
"67",5,7,30,"bbs_rtrg_5_7"
"68",5,35,30,"bbs_rtrg_5_35"
"69",5,45,29,"bbs_rtrg_5_45"
"70",5,46,30,"bbs_rtrg_5_46"
"71",5,58,27,"bbs_rtrg_5_58"
"72",5,60,27,"bbs_rtrg_5_60"
"73",5,63,27,"bbs_rtrg_5_63"
"74",5,64,28,"bbs_rtrg_5_64"
"75",5,66,27,"bbs_rtrg_5_66"
"76",5,68,27,"bbs_rtrg_5_68"
"77",5,72,27,"bbs_rtrg_5_72"
"78",5,75,28,"bbs_rtrg_5_75"
"79",5,76,30,"bbs_rtrg_5_76"
"80",5,87,28,"bbs_rtrg_5_87"
"81",5,88,30,"bbs_rtrg_5_88"
"82",5,89,28,"bbs_rtrg_5_89"
"83",5,91,28,"bbs_rtrg_5_91"
"84",5,92,30,"bbs_rtrg_5_92"
"85",6,36,30,"bbs_rtrg_6_36"
"86",6,38,28,"bbs_rtrg_6_38"
"87",6,39,29,"bbs_rtrg_6_39"
"88",6,44,30,"bbs_rtrg_6_44"
"89",6,46,30,"bbs_rtrg_6_46"
"90",6,53,28,"bbs_rtrg_6_53"
"91",6,58,28,"bbs_rtrg_6_58"
"92",6,60,27,"bbs_rtrg_6_60"
"93",6,68,28,"bbs_rtrg_6_68"
"94",6,72,30,"bbs_rtrg_6_72"
"95",6,82,30,"bbs_rtrg_6_82"
"96",6,87,27,"bbs_rtrg_6_87"
"97",7,2,28,"bbs_rtrg_7_2"
"98",7,7,28,"bbs_rtrg_7_7"
"99",7,38,27,"bbs_rtrg_7_38"
"100",7,44,29,"bbs_rtrg_7_44"
"101",7,52,29,"bbs_rtrg_7_52"
"102",7,54,27,"bbs_rtrg_7_54"
"103",7,58,28,"bbs_rtrg_7_58"
"104",7,64,28,"bbs_rtrg_7_64"
"105",7,68,27,"bbs_rtrg_7_68"
"106",7,88,29,"bbs_rtrg_7_88"
"107",7,92,28,"bbs_rtrg_7_92"
"108",8,7,28,"bbs_rtrg_8_7"
"109",8,18,28,"bbs_rtrg_8_18"
"110",8,38,28,"bbs_rtrg_8_38"
"111",8,46,28,"bbs_rtrg_8_46"
"112",8,50,30,"bbs_rtrg_8_50"
"113",8,58,30,"bbs_rtrg_8_58"
"114",8,69,27,"bbs_rtrg_8_69"
"115",8,72,29,"bbs_rtrg_8_72"
"116",8,91,28,"bbs_rtrg_8_91"
"117",9,4,28,"bbs_rtrg_9_4"
"118",9,17,29,"bbs_rtrg_9_17"
"119",9,18,30,"bbs_rtrg_9_18"
"120",9,34,27,"bbs_rtrg_9_34"
"121",9,35,27,"bbs_rtrg_9_35"
"122",9,39,28,"bbs_rtrg_9_39"
"123",9,42,27,"bbs_rtrg_9_42"
"124",9,47,29,"bbs_rtrg_9_47"
"125",9,50,27,"bbs_rtrg_9_50"
"126",9,53,30,"bbs_rtrg_9_53"
"127",9,58,29,"bbs_rtrg_9_58"
"128",9,60,28,"bbs_rtrg_9_60"
"129",9,64,27,"bbs_rtrg_9_64"
"130",9,69,28,"bbs_rtrg_9_69"
"131",9,76,27,"bbs_rtrg_9_76"
"132",9,82,29,"bbs_rtrg_9_82"
"133",9,89,27,"bbs_rtrg_9_89"
"134",10,2,27,"bbs_rtrg_10_2"
"135",10,3,29,"bbs_rtrg_10_3"
"136",10,4,27,"bbs_rtrg_10_4"
"137",10,7,27,"bbs_rtrg_10_7"
"138",10,25,29,"bbs_rtrg_10_25"
"139",10,27,27,"bbs_rtrg_10_27"
"140",10,33,28,"bbs_rtrg_10_33"
"141",10,34,28,"bbs_rtrg_10_34"
"142",10,35,30,"bbs_rtrg_10_35"
"143",10,38,27,"bbs_rtrg_10_38"
"144",10,39,27,"bbs_rtrg_10_39"
"145",10,52,30,"bbs_rtrg_10_52"
"146",10,58,30,"bbs_rtrg_10_58"
"147",10,59,27,"bbs_rtrg_10_59"
"148",10,60,27,"bbs_rtrg_10_60"
"149",10,63,30,"bbs_rtrg_10_63"
"150",10,64,27,"bbs_rtrg_10_64"
"151",10,72,30,"bbs_rtrg_10_72"
"152",10,81,30,"bbs_rtrg_10_81"
"153",10,82,30,"bbs_rtrg_10_82"
"154",10,87,28,"bbs_rtrg_10_87"
"155",10,91,28,"bbs_rtrg_10_91"
"156",11,17,30,"bbs_rtrg_11_17"
"157",11,35,30,"bbs_rtrg_11_35"
"158",11,46,30,"bbs_rtrg_11_46"
"159",11,52,30,"bbs_rtrg_11_52"
"160",11,58,29,"bbs_rtrg_11_58"
"161",11,63,30,"bbs_rtrg_11_63"
"162",11,64,29,"bbs_rtrg_11_64"
"163",11,67,30,"bbs_rtrg_11_67"
"164",11,68,28,"bbs_rtrg_11_68"
"165",11,83,28,"bbs_rtrg_11_83"
"166",11,85,30,"bbs_rtrg_11_85"
"167",11,91,28,"bbs_rtrg_11_91"
"168",12,6,27,"bbs_rtrg_12_6"
"169",12,34,28,"bbs_rtrg_12_34"
"170",12,44,27,"bbs_rtrg_12_44"
"171",12,54,29,"bbs_rtrg_12_54"
"172",12,68,30,"bbs_rtrg_12_68"
"173",12,85,27,"bbs_rtrg_12_85"
"174",12,91,30,"bbs_rtrg_12_91"
"175",13,7,28,"bbs_rtrg_13_7"
"176",13,35,30,"bbs_rtrg_13_35"
"177",13,36,30,"bbs_rtrg_13_36"
"178",13,38,28,"bbs_rtrg_13_38"
"179",13,44,30,"bbs_rtrg_13_44"
"180",13,45,29,"bbs_rtrg_13_45"
"181",13,46,30,"bbs_rtrg_13_46"
"182",13,53,28,"bbs_rtrg_13_53"
"183",13,58,29,"bbs_rtrg_13_58"
"184",13,60,28,"bbs_rtrg_13_60"
"185",13,82,27,"bbs_rtrg_13_82"
"186",13,91,27,"bbs_rtrg_13_91"
"187",14,2,28,"bbs_rtrg_14_2"
"188",14,6,28,"bbs_rtrg_14_6"
"189",14,25,29,"bbs_rtrg_14_25"
"190",14,33,28,"bbs_rtrg_14_33"
"191",14,34,28,"bbs_rtrg_14_34"
"192",14,35,30,"bbs_rtrg_14_35"
"193",14,36,28,"bbs_rtrg_14_36"
"194",14,38,30,"bbs_rtrg_14_38"
"195",14,46,30,"bbs_rtrg_14_46"
"196",14,47,30,"bbs_rtrg_14_47"
"197",14,52,30,"bbs_rtrg_14_52"
"198",14,54,29,"bbs_rtrg_14_54"
"199",14,58,30,"bbs_rtrg_14_58"
"200",14,67,28,"bbs_rtrg_14_67"
"201",14,68,29,"bbs_rtrg_14_68"
"202",14,88,30,"bbs_rtrg_14_88"
"203",14,91,27,"bbs_rtrg_14_91"
"204",15,7,29,"bbs_rtrg_15_7"
"205",15,25,27,"bbs_rtrg_15_25"
"206",15,38,30,"bbs_rtrg_15_38"
"207",15,46,30,"bbs_rtrg_15_46"
"208",15,50,30,"bbs_rtrg_15_50"
"209",15,58,28,"bbs_rtrg_15_58"
"210",15,67,30,"bbs_rtrg_15_67"
"211",15,68,30,"bbs_rtrg_15_68"
"212",15,85,28,"bbs_rtrg_15_85"
"213",15,87,27,"bbs_rtrg_15_87"
"214",16,38,30,"bbs_rtrg_16_38"
"215",16,46,29,"bbs_rtrg_16_46"
"216",16,52,29,"bbs_rtrg_16_52"
"217",16,72,27,"bbs_rtrg_16_72"
"218",16,82,28,"bbs_rtrg_16_82"
"219",16,90,30,"bbs_rtrg_16_90"
"220",16,91,27,"bbs_rtrg_16_91"
"221",17,2,28,"bbs_rtrg_17_2"
"222",17,4,27,"bbs_rtrg_17_4"
"223",17,36,28,"bbs_rtrg_17_36"
"224",17,38,29,"bbs_rtrg_17_38"
"225",17,46,29,"bbs_rtrg_17_46"
"226",17,47,29,"bbs_rtrg_17_47"
"227",17,49,29,"bbs_rtrg_17_49"
"228",17,50,28,"bbs_rtrg_17_50"
"229",17,53,27,"bbs_rtrg_17_53"
"230",17,54,27,"bbs_rtrg_17_54"
"231",17,58,29,"bbs_rtrg_17_58"
"232",17,60,30,"bbs_rtrg_17_60"
"233",17,67,29,"bbs_rtrg_17_67"
"234",17,91,29,"bbs_rtrg_17_91"
"235",18,6,29,"bbs_rtrg_18_6"
"236",18,14,27,"bbs_rtrg_18_14"
"237",18,25,27,"bbs_rtrg_18_25"
"238",18,42,28,"bbs_rtrg_18_42"
"239",18,49,30,"bbs_rtrg_18_49"
"240",18,53,27,"bbs_rtrg_18_53"
"241",18,58,29,"bbs_rtrg_18_58"
"242",18,60,27,"bbs_rtrg_18_60"
"243",18,68,28,"bbs_rtrg_18_68"
"244",19,2,29,"bbs_rtrg_19_2"
"245",19,7,30,"bbs_rtrg_19_7"
"246",19,44,29,"bbs_rtrg_19_44"
"247",19,47,30,"bbs_rtrg_19_47"
"248",19,53,29,"bbs_rtrg_19_53"
"249",19,58,27,"bbs_rtrg_19_58"
"250",19,60,28,"bbs_rtrg_19_60"
"251",19,69,29,"bbs_rtrg_19_69"
"252",19,85,29,"bbs_rtrg_19_85"
"253",19,89,27,"bbs_rtrg_19_89"
"254",19,90,29,"bbs_rtrg_19_90"
"255",19,91,29,"bbs_rtrg_19_91"
"256",19,92,27,"bbs_rtrg_19_92"
"257",20,2,28,"bbs_rtrg_20_2"
"258",20,7,30,"bbs_rtrg_20_7"
"259",20,25,29,"bbs_rtrg_20_25"
"260",20,33,30,"bbs_rtrg_20_33"
"261",20,34,29,"bbs_rtrg_20_34"
"262",20,52,27,"bbs_rtrg_20_52"
"263",20,58,27,"bbs_rtrg_20_58"
"264",20,59,29,"bbs_rtrg_20_59"
"265",20,60,30,"bbs_rtrg_20_60"
"266",20,82,30,"bbs_rtrg_20_82"
"267",20,85,28,"bbs_rtrg_20_85"
"268",20,91,28,"bbs_rtrg_20_91"
"269",21,3,28,"bbs_rtrg_21_3"
"270",21,14,30,"bbs_rtrg_21_14"
"271",21,25,28,"bbs_rtrg_21_25"
"272",21,27,27,"bbs_rtrg_21_27"
"273",21,33,30,"bbs_rtrg_21_33"
"274",21,35,29,"bbs_rtrg_21_35"
"275",21,38,27,"bbs_rtrg_21_38"
"276",21,39,29,"bbs_rtrg_21_39"
"277",21,52,29,"bbs_rtrg_21_52"
"278",21,59,30,"bbs_rtrg_21_59"
"279",21,66,30,"bbs_rtrg_21_66"
"280",21,69,30,"bbs_rtrg_21_69"
"281",21,72,27,"bbs_rtrg_21_72"
"282",21,76,28,"bbs_rtrg_21_76"
"283",21,85,29,"bbs_rtrg_21_85"
"284",21,88,28,"bbs_rtrg_21_88"
"285",22,2,29,"bbs_rtrg_22_2"
"286",22,4,28,"bbs_rtrg_22_4"
"287",22,7,29,"bbs_rtrg_22_7"
"288",22,25,30,"bbs_rtrg_22_25"
"289",22,34,29,"bbs_rtrg_22_34"
"290",22,35,28,"bbs_rtrg_22_35"
"291",22,49,27,"bbs_rtrg_22_49"
"292",22,54,29,"bbs_rtrg_22_54"
"293",22,58,29,"bbs_rtrg_22_58"
"294",22,60,30,"bbs_rtrg_22_60"
"295",22,66,28,"bbs_rtrg_22_66"
"296",22,67,27,"bbs_rtrg_22_67"
"297",22,68,30,"bbs_rtrg_22_68"
"298",22,69,29,"bbs_rtrg_22_69"
"299",22,72,29,"bbs_rtrg_22_72"
"300",22,76,30,"bbs_rtrg_22_76"
"301",22,91,29,"bbs_rtrg_22_91"
"302",23,7,28,"bbs_rtrg_23_7"
"303",23,34,29,"bbs_rtrg_23_34"
"304",23,51,29,"bbs_rtrg_23_51"
"305",23,60,30,"bbs_rtrg_23_60"
"306",23,67,30,"bbs_rtrg_23_67"
"307",23,72,27,"bbs_rtrg_23_72"
"308",23,82,28,"bbs_rtrg_23_82"
"309",23,88,30,"bbs_rtrg_23_88"
"310",24,2,27,"bbs_rtrg_24_2"
"311",24,7,27,"bbs_rtrg_24_7"
"312",24,25,28,"bbs_rtrg_24_25"
"313",24,34,29,"bbs_rtrg_24_34"
"314",24,60,30,"bbs_rtrg_24_60"
"315",24,63,30,"bbs_rtrg_24_63"
"316",24,91,29,"bbs_rtrg_24_91"
"317",25,2,28,"bbs_rtrg_25_2"
"318",25,25,28,"bbs_rtrg_25_25"
"319",25,33,27,"bbs_rtrg_25_33"
"320",25,34,30,"bbs_rtrg_25_34"
"321",25,39,29,"bbs_rtrg_25_39"
"322",25,49,27,"bbs_rtrg_25_49"
"323",25,53,28,"bbs_rtrg_25_53"
"324",25,60,28,"bbs_rtrg_25_60"
"325",25,66,28,"bbs_rtrg_25_66"
"326",25,68,28,"bbs_rtrg_25_68"
"327",25,72,28,"bbs_rtrg_25_72"
"328",25,82,28,"bbs_rtrg_25_82"
"329",26,7,27,"bbs_rtrg_26_7"
"330",26,35,27,"bbs_rtrg_26_35"
"331",26,38,30,"bbs_rtrg_26_38"
"332",26,44,29,"bbs_rtrg_26_44"
"333",26,53,30,"bbs_rtrg_26_53"
"334",26,68,30,"bbs_rtrg_26_68"
"335",26,69,30,"bbs_rtrg_26_69"
"336",26,82,27,"bbs_rtrg_26_82"
"337",26,90,29,"bbs_rtrg_26_90"
"338",26,91,29,"bbs_rtrg_26_91"
"339",27,2,27,"bbs_rtrg_27_2"
"340",27,7,27,"bbs_rtrg_27_7"
"341",27,25,30,"bbs_rtrg_27_25"
"342",27,27,28,"bbs_rtrg_27_27"
"343",27,33,30,"bbs_rtrg_27_33"
"344",27,38,28,"bbs_rtrg_27_38"
"345",27,52,27,"bbs_rtrg_27_52"
"346",27,53,29,"bbs_rtrg_27_53"
"347",27,60,28,"bbs_rtrg_27_60"
"348",27,65,28,"bbs_rtrg_27_65"
"349",27,82,27,"bbs_rtrg_27_82"
"350",27,89,28,"bbs_rtrg_27_89"
"351",27,90,28,"bbs_rtrg_27_90"
"352",27,91,28,"bbs_rtrg_27_91"
"353",28,4,29,"bbs_rtrg_28_4"
"354",28,6,28,"bbs_rtrg_28_6"
"355",28,7,29,"bbs_rtrg_28_7"
"356",28,35,27,"bbs_rtrg_28_35"
"357",28,36,30,"bbs_rtrg_28_36"
"358",28,38,30,"bbs_rtrg_28_38"
"359",28,50,28,"bbs_rtrg_28_50"
"360",28,53,30,"bbs_rtrg_28_53"
"361",28,60,28,"bbs_rtrg_28_60"
"362",28,64,27,"bbs_rtrg_28_64"
"363",28,68,28,"bbs_rtrg_28_68"
"364",28,88,28,"bbs_rtrg_28_88"
"365",28,91,30,"bbs_rtrg_28_91"
"366",28,92,28,"bbs_rtrg_28_92"
"367",29,2,28,"bbs_rtrg_29_2"
"368",29,4,27,"bbs_rtrg_29_4"
"369",29,34,30,"bbs_rtrg_29_34"
"370",29,38,29,"bbs_rtrg_29_38"
"371",29,46,29,"bbs_rtrg_29_46"
"372",29,60,30,"bbs_rtrg_29_60"
"373",29,69,28,"bbs_rtrg_29_69"
"374",29,72,30,"bbs_rtrg_29_72"
"375",29,81,30,"bbs_rtrg_29_81"
"376",29,82,27,"bbs_rtrg_29_82"
"377",29,88,27,"bbs_rtrg_29_88"
"378",29,89,29,"bbs_rtrg_29_89"
