"","Seq","aou","English_Common_Name","French_Common_Name","Spanish_Common_Name","ORDER","Family","Genus","species"
"1",6,1770,"Black-bellied Whistling-Duck","Dendrocygne à ventre noir","Dendrocygna autumnalis","Anseriformes","Anatidae","Dendrocygna","autumnalis"
"2",7,1780,"Fulvous Whistling-Duck","Dendrocygne fauve","Dendrocygna bicolor","Anseriformes","Anatidae","Dendrocygna","bicolor"
"3",8,1760,"Emperor Goose","Oie empereur","Anser canagicus","Anseriformes","Anatidae","Anser","canagicus"
"4",9,1690,"Snow Goose","Oie des neiges","Anser caerulescens","Anseriformes","Anatidae","Anser","caerulescens"
"5",10,1691,"(Blue Goose) Snow Goose","Oie des neiges (forme bleue)","Anser caerulescens (blue form)","Anseriformes","Anatidae","Anser","caerulescens (blue form)"
"6",11,1700,"Ross's Goose","Oie de Ross","Anser rossii","Anseriformes","Anatidae","Anser","rossii"
"7",13,1710,"Greater White-fronted Goose","Oie rieuse","Anser albifrons","Anseriformes","Anatidae","Anser","albifrons"
"8",18,1730,"Brant","Bernache cravant","Branta bernicla","Anseriformes","Anatidae","Branta","bernicla"
"9",19,1740,"(Black Brant) Brant","Bernache cravant (groupe nigricans)","Branta bernicla nigricans","Anseriformes","Anatidae","Branta","bernicla nigricans"
"10",21,1725,"Cackling Goose","Bernache de Hutchins","Branta hutchinsii","Anseriformes","Anatidae","Branta","hutchinsii"
"11",22,1720,"Canada Goose","Bernache du Canada","Branta canadensis","Anseriformes","Anatidae","Branta","canadensis"
"12",23,1782,"Mute Swan","Cygne tuberculé","Cygnus olor","Anseriformes","Anatidae","Cygnus","olor"
"13",24,1810,"Trumpeter Swan","Cygne trompette","Cygnus buccinator","Anseriformes","Anatidae","Cygnus","buccinator"
"14",25,1800,"Tundra Swan","Cygne siffleur","Cygnus columbianus","Anseriformes","Anatidae","Cygnus","columbianus"
"15",29,1440,"Wood Duck","Canard branchu","Aix sponsa","Anseriformes","Anatidae","Aix","sponsa"
"16",32,1400,"Blue-winged Teal","Sarcelle à ailes bleues","Spatula discors","Anseriformes","Anatidae","Spatula","discors"
"17",33,1410,"Cinnamon Teal","Sarcelle cannelle","Spatula cyanoptera","Anseriformes","Anatidae","Spatula","cyanoptera"
"18",34,1420,"Northern Shoveler","Canard souchet","Spatula clypeata","Anseriformes","Anatidae","Spatula","clypeata"
"19",35,1350,"Gadwall","Canard chipeau","Mareca strepera","Anseriformes","Anatidae","Mareca","strepera"
"20",37,1360,"Eurasian Wigeon","Canard siffleur","Mareca penelope","Anseriformes","Anatidae","Mareca","penelope"
"21",38,1370,"American Wigeon","Canard d'Amérique","Mareca americana","Anseriformes","Anatidae","Mareca","americana"
"22",40,1320,"Mallard","Canard colvert","Anas platyrhynchos","Anseriformes","Anatidae","Anas","platyrhynchos"
"23",41,1331,"(Mexican Duck) Mallard","Canard du Mexique","Anas platyrhynchos diazi","Anseriformes","Anatidae","Anas","platyrhynchos diazi"
"24",42,1330,"American Black Duck","Canard noir","Anas rubripes","Anseriformes","Anatidae","Anas","rubripes"
"25",43,1340,"Mottled Duck","Canard brun","Anas fulvigula","Anseriformes","Anatidae","Anas","fulvigula"
"26",44,1326,"hybrid Mallard x Black Duck or Mottled Duck","hybride Canard colvert x Canard noir","Anas platyrhynchos x rubripes or fulvigula","Anseriformes","Anatidae","Anas","platyrhynchos x rubripes or fulvigula"
"27",46,1430,"Northern Pintail","Canard pilet","Anas acuta","Anseriformes","Anatidae","Anas","acuta"
"28",47,1390,"Green-winged Teal","Sarcelle d'hiver","Anas crecca","Anseriformes","Anatidae","Anas","crecca"
"29",48,1470,"Canvasback","Fuligule à dos blanc","Aythya valisineria","Anseriformes","Anatidae","Aythya","valisineria"
"30",49,1460,"Redhead","Fuligule à tête rouge","Aythya americana","Anseriformes","Anatidae","Aythya","americana"
"31",51,1500,"Ring-necked Duck","Fuligule à collier","Aythya collaris","Anseriformes","Anatidae","Aythya","collaris"
"32",52,1491,"Tufted Duck","Fuligule morillon","Aythya fuligula","Anseriformes","Anatidae","Aythya","fuligula"
"33",53,1480,"Greater Scaup","Fuligule milouinan","Aythya marila","Anseriformes","Anatidae","Aythya","marila"
"34",54,1490,"Lesser Scaup","Petit Fuligule","Aythya affinis","Anseriformes","Anatidae","Aythya","affinis"
"35",55,1489,"unid. Greater Scaup / Lesser Scaup","unid Fuligule milouinan / Petit Fuligule","Aythya marila / affinis","Anseriformes","Anatidae","Aythya","marila / affinis"
"36",58,1620,"King Eider","Eider à tête grise","Somateria spectabilis","Anseriformes","Anatidae","Somateria","spectabilis"
"37",59,1590,"Common Eider","Eider à duvet","Somateria mollissima","Anseriformes","Anatidae","Somateria","mollissima"
"38",60,1550,"Harlequin Duck","Arlequin plongeur","Histrionicus histrionicus","Anseriformes","Anatidae","Histrionicus","histrionicus"
"39",61,1660,"Surf Scoter","Macreuse à front blanc","Melanitta perspicillata","Anseriformes","Anatidae","Melanitta","perspicillata"
"40",62,1650,"White-winged Scoter","Macreuse brune","Melanitta fusca","Anseriformes","Anatidae","Melanitta","fusca"
"41",64,1630,"Black Scoter","Macreuse à bec jaune","Melanitta americana","Anseriformes","Anatidae","Melanitta","americana"
"42",65,1657,"unid. scoter","unid macreuse sp.","Melanitta perspicillata / fusca / americana","Anseriformes","Anatidae","Melanitta","perspicillata / fusca / americana"
"43",66,1540,"Long-tailed Duck","Harelde kakawi","Clangula hyemalis","Anseriformes","Anatidae","Clangula","hyemalis"
"44",67,1530,"Bufflehead","Petit Garrot","Bucephala albeola","Anseriformes","Anatidae","Bucephala","albeola"
"45",68,1510,"Common Goldeneye","Garrot à oeil d'or","Bucephala clangula","Anseriformes","Anatidae","Bucephala","clangula"
"46",69,1520,"Barrow's Goldeneye","Garrot d'Islande","Bucephala islandica","Anseriformes","Anatidae","Bucephala","islandica"
"47",70,1512,"unid. Common Goldeneye / Barrow's Goldeneye","unid Garrot à oeil d'or / Garrot d'Islande","Bucephala clangula / islandica","Anseriformes","Anatidae","Bucephala","clangula / islandica"
"48",72,1310,"Hooded Merganser","Harle couronné","Lophodytes cucullatus","Anseriformes","Anatidae","Lophodytes","cucullatus"
"49",73,1290,"Common Merganser","Grand Harle","Mergus merganser","Anseriformes","Anatidae","Mergus","merganser"
"50",74,1300,"Red-breasted Merganser","Harle huppé","Mergus serrator","Anseriformes","Anatidae","Mergus","serrator"
"51",76,1670,"Ruddy Duck","Érismature rousse","Oxyura jamaicensis","Anseriformes","Anatidae","Oxyura","jamaicensis"
"52",115,2973,"unid. Dusky Grouse / Sooty Grouse","unid Tétras sombre / Tétras fuligineux","Dendragapus obscurus / fuliginosus","Galliformes","Phasianidae","Dendragapus","obscurus / fuliginosus"
"53",122,50,"Least Grebe","Grèbe minime","Tachybaptus dominicus","Podicipediformes","Podicipedidae","Tachybaptus","dominicus"
"54",123,60,"Pied-billed Grebe","Grèbe à bec bigarré","Podilymbus podiceps","Podicipediformes","Podicipedidae","Podilymbus","podiceps"
"55",124,30,"Horned Grebe","Grèbe esclavon","Podiceps auritus","Podicipediformes","Podicipedidae","Podiceps","auritus"
"56",125,20,"Red-necked Grebe","Grèbe jougris","Podiceps grisegena","Podicipediformes","Podicipedidae","Podiceps","grisegena"
"57",126,40,"Eared Grebe","Grèbe à cou noir","Podiceps nigricollis","Podicipediformes","Podicipedidae","Podiceps","nigricollis"
"58",127,10,"Western Grebe","Grèbe élégant","Aechmophorus occidentalis","Podicipediformes","Podicipedidae","Aechmophorus","occidentalis"
"59",128,11,"Clark's Grebe","Grèbe à face blanche","Aechmophorus clarkii","Podicipediformes","Podicipedidae","Aechmophorus","clarkii"
"60",129,12,"unid. Western Grebe / Clark's Grebe","unid Grèbe élégant / Grèbe à face blanche","Aechmophorus occidentalis / clarkii","Podicipediformes","Podicipedidae","Aechmophorus","occidentalis / clarkii"
"61",168,3875,"unid. Yellow-billed Cuckoo / Black-billed Cuckoo","unid Coulicou à bec jaune / Coulicou à bec noir","Coccyzus americanus / erythropthalmus","Cuculiformes","Cuculidae","Coccyzus","americanus / erythropthalmus"
"62",177,4210,"Lesser Nighthawk","Engoulevent minime","Chordeiles acutipennis","Caprimulgiformes","Caprimulgidae","Chordeiles","acutipennis"
"63",178,4200,"Common Nighthawk","Engoulevent d'Amérique","Chordeiles minor","Caprimulgiformes","Caprimulgidae","Chordeiles","minor"
"64",179,4201,"Antillean Nighthawk","Engoulevent piramidig","Chordeiles gundlachii","Caprimulgiformes","Caprimulgidae","Chordeiles","gundlachii"
"65",180,4205,"unid. Lesser Nighthawk / Common Nighthawk","unid Engoulevent minime / Engoulevent d'Amérique","Chordeiles acutipennis / minor","Caprimulgiformes","Caprimulgidae","Chordeiles","acutipennis / minor"
"66",181,4206,"unid. Common Nighthawk / Antillean Nighthawk","unid Engoulevent d'Amérique / piramidig","Chordeiles minor / gundlachii","Caprimulgiformes","Caprimulgidae","Chordeiles","minor / gundlachii"
"67",182,4190,"Common Pauraque","Engoulevent pauraqué","Nyctidromus albicollis","Caprimulgiformes","Caprimulgidae","Nyctidromus","albicollis"
"68",183,4180,"Common Poorwill","Engoulevent de Nuttall","Phalaenoptilus nuttallii","Caprimulgiformes","Caprimulgidae","Phalaenoptilus","nuttallii"
"69",186,4160,"Chuck-will's-widow","Engoulevent de Caroline","Antrostomus carolinensis","Caprimulgiformes","Caprimulgidae","Antrostomus","carolinensis"
"70",190,4171,"Eastern Whip-poor-will","Engoulevent bois-pourri","Antrostomus vociferus","Caprimulgiformes","Caprimulgidae","Antrostomus","vociferus"
"71",191,4172,"Mexican Whip-poor-will","Engoulevent d'Arizona","Antrostomus arizonae","Caprimulgiformes","Caprimulgidae","Antrostomus","arizonae"
"72",234,4295,"unid. Ruby-throated / Black-chinned Hummingbird","unid Colibri à gorge rubis / Colibri à gorge noire","Archilochus colubris / alexandri","Apodiformes","Trochilidae","Archilochus","colubris / alexandri"
"73",242,4335,"unid. Rufous Hummingbird / Allen's Hummingbird","unid Colibri roux / Colibri d'Allen","Selasphorus rufus / sasin","Apodiformes","Trochilidae","Selasphorus","rufus / sasin"
"74",243,4402,"unid. hummingbird","unid Colibri sp.","Trochilid sp.","Apodiformes","Trochilidae","Trochilid","sp."
"75",272,2150,"Yellow Rail","Râle jaune","Coturnicops noveboracensis","Gruiformes","Rallidae","Coturnicops","noveboracensis"
"76",275,2160,"Black Rail","Râle noir","Laterallus jamaicensis","Gruiformes","Rallidae","Laterallus","jamaicensis"
"77",277,2111,"Ridgway's Rail","Râle de Californie","Rallus obsoletus","Gruiformes","Rallidae","Rallus","obsoletus"
"78",278,2110,"Clapper Rail","Râle tapageur","Rallus crepitans","Gruiformes","Rallidae","Rallus","crepitans"
"79",280,2080,"King Rail","Râle élégant","Rallus elegans","Gruiformes","Rallidae","Rallus","elegans"
"80",281,2090,"unid. Clapper / King Rail","unid Râle élégant / Râle Gris","Rallus crepitans / elegans","Gruiformes","Rallidae","Rallus","crepitans / elegans"
"81",282,2120,"Virginia Rail","Râle de Virginie","Rallus limicola","Gruiformes","Rallidae","Rallus","limicola"
"82",286,2140,"Sora","Marouette de Caroline","Porzana carolina","Gruiformes","Rallidae","Porzana","carolina"
"83",290,2180,"Purple Gallinule","Talève violacée","Porphyrio martinicus","Gruiformes","Rallidae","Porphyrio","martinicus"
"84",292,2190,"Common Gallinule","Gallinule d'Amérique","Gallinula galeata","Gruiformes","Rallidae","Gallinula","galeata"
"85",295,2210,"American Coot","Foulque d'Amérique","Fulica americana","Gruiformes","Rallidae","Fulica","americana"
"86",297,2070,"Limpkin","Courlan brun","Aramus guarauna","Gruiformes","Aramidae","Aramus","guarauna"
"87",298,2060,"Sandhill Crane","Grue du Canada","Antigone canadensis","Gruiformes","Gruidae","Antigone","canadensis"
"88",300,2040,"Whooping Crane","Grue blanche","Grus americana","Gruiformes","Gruidae","Grus","americana"
"89",303,2260,"Black-necked Stilt","Échasse d'Amérique","Himantopus mexicanus","Charadriiformes","Recurvirostridae","Himantopus","mexicanus"
"90",304,2250,"American Avocet","Avocette d'Amérique","Recurvirostra americana","Charadriiformes","Recurvirostridae","Recurvirostra","americana"
"91",306,2860,"American Oystercatcher","Huîtrier d'Amérique","Haematopus palliatus","Charadriiformes","Haematopodidae","Haematopus","palliatus"
"92",307,2870,"Black Oystercatcher","Huîtrier de Bachman","Haematopus bachmani","Charadriiformes","Haematopodidae","Haematopus","bachmani"
"93",310,2700,"Black-bellied Plover","Pluvier argenté","Pluvialis squatarola","Charadriiformes","Charadriidae","Pluvialis","squatarola"
"94",312,2720,"American Golden-Plover","Pluvier bronzé","Pluvialis dominica","Charadriiformes","Charadriidae","Pluvialis","dominica"
"95",313,2721,"Pacific Golden-Plover","Pluvier fauve","Pluvialis fulva","Charadriiformes","Charadriidae","Pluvialis","fulva"
"96",317,2780,"Snowy Plover","Pluvier neigeux","Charadrius nivosus","Charadriiformes","Charadriidae","Charadrius","nivosus"
"97",318,2800,"Wilson's Plover","Pluvier de Wilson","Charadrius wilsonia","Charadriiformes","Charadriidae","Charadrius","wilsonia"
"98",319,2750,"Common Ringed Plover","Pluvier grand-gravelot","Charadrius hiaticula","Charadriiformes","Charadriidae","Charadrius","hiaticula"
"99",320,2740,"Semipalmated Plover","Pluvier semipalmé","Charadrius semipalmatus","Charadriiformes","Charadriidae","Charadrius","semipalmatus"
"100",321,2770,"Piping Plover","Pluvier siffleur","Charadrius melodus","Charadriiformes","Charadriidae","Charadrius","melodus"
"101",323,2730,"Killdeer","Pluvier kildir","Charadrius vociferus","Charadriiformes","Charadriidae","Charadrius","vociferus"
"102",324,2810,"Mountain Plover","Pluvier montagnard","Charadrius montanus","Charadriiformes","Charadriidae","Charadrius","montanus"
"103",327,2610,"Upland Sandpiper","Maubèche des champs","Bartramia longicauda","Charadriiformes","Scolopacidae","Bartramia","longicauda"
"104",328,2680,"Bristle-thighed Curlew","Courlis d'Alaska","Numenius tahitiensis","Charadriiformes","Scolopacidae","Numenius","tahitiensis"
"105",329,2650,"Whimbrel","Courlis corlieu","Numenius phaeopus","Charadriiformes","Scolopacidae","Numenius","phaeopus"
"106",331,2640,"Long-billed Curlew","Courlis à long bec","Numenius americanus","Charadriiformes","Scolopacidae","Numenius","americanus"
"107",335,2500,"Bar-tailed Godwit","Barge rousse","Limosa lapponica","Charadriiformes","Scolopacidae","Limosa","lapponica"
"108",337,2510,"Hudsonian Godwit","Barge hudsonienne","Limosa haemastica","Charadriiformes","Scolopacidae","Limosa","haemastica"
"109",338,2490,"Marbled Godwit","Barge marbrée","Limosa fedoa","Charadriiformes","Scolopacidae","Limosa","fedoa"
"110",339,2830,"Ruddy Turnstone","Tournepierre à collier","Arenaria interpres","Charadriiformes","Scolopacidae","Arenaria","interpres"
"111",340,2840,"Black Turnstone","Tournepierre noir","Arenaria melanocephala","Charadriiformes","Scolopacidae","Arenaria","melanocephala"
"112",342,2340,"Red Knot","Bécasseau maubèche","Calidris canutus","Charadriiformes","Scolopacidae","Calidris","canutus"
"113",343,2820,"Surfbird","Bécasseau du ressac","Calidris virgata","Charadriiformes","Scolopacidae","Calidris","virgata"
"114",346,2380,"Sharp-tailed Sandpiper","Bécasseau à queue pointue","Calidris acuminata","Charadriiformes","Scolopacidae","Calidris","acuminata"
"115",347,2330,"Stilt Sandpiper","Bécasseau à échasses","Calidris himantopus","Charadriiformes","Scolopacidae","Calidris","himantopus"
"116",352,2422,"Red-necked Stint","Bécasseau à col roux","Calidris ruficollis","Charadriiformes","Scolopacidae","Calidris","ruficollis"
"117",353,2480,"Sanderling","Bécasseau sanderling","Calidris alba","Charadriiformes","Scolopacidae","Calidris","alba"
"118",354,2430,"Dunlin","Bécasseau variable","Calidris alpina","Charadriiformes","Scolopacidae","Calidris","alpina"
"119",355,2356,"Rock Sandpiper","Bécasseau des Aléoutiennes","Calidris ptilocnemis","Charadriiformes","Scolopacidae","Calidris","ptilocnemis"
"120",356,2350,"Purple Sandpiper","Bécasseau violet","Calidris maritima","Charadriiformes","Scolopacidae","Calidris","maritima"
"121",357,2410,"Baird's Sandpiper","Bécasseau de Baird","Calidris bairdii","Charadriiformes","Scolopacidae","Calidris","bairdii"
"122",359,2420,"Least Sandpiper","Bécasseau minuscule","Calidris minutilla","Charadriiformes","Scolopacidae","Calidris","minutilla"
"123",360,2400,"White-rumped Sandpiper","Bécasseau à croupion blanc","Calidris fuscicollis","Charadriiformes","Scolopacidae","Calidris","fuscicollis"
"124",361,2620,"Buff-breasted Sandpiper","Bécasseau roussâtre","Calidris subruficollis","Charadriiformes","Scolopacidae","Calidris","subruficollis"
"125",362,2390,"Pectoral Sandpiper","Bécasseau à poitrine cendrée","Calidris melanotos","Charadriiformes","Scolopacidae","Calidris","melanotos"
"126",363,2460,"Semipalmated Sandpiper","Bécasseau semipalmé","Calidris pusilla","Charadriiformes","Scolopacidae","Calidris","pusilla"
"127",364,2470,"Western Sandpiper","Bécasseau d'Alaska","Calidris mauri","Charadriiformes","Scolopacidae","Calidris","mauri"
"128",365,2429,"unid. small ''peep'' sandpiper","unid petit Bécasseau sp.","Calidris sp.","Charadriiformes","Scolopacidae","Calidris","sp."
"129",366,2310,"Short-billed Dowitcher","Bécassin roux","Limnodromus griseus","Charadriiformes","Scolopacidae","Limnodromus","griseus"
"130",367,2320,"Long-billed Dowitcher","Bécassin à long bec","Limnodromus scolopaceus","Charadriiformes","Scolopacidae","Limnodromus","scolopaceus"
"131",368,2327,"unid. Short-billed / Long-billed Dowitcher","unid Bécassin roux / Bécassin à long bec","Limnodromus griseus / scolopaceus","Charadriiformes","Scolopacidae","Limnodromus","griseus / scolopaceus"
"132",371,2280,"American Woodcock","Bécasse d'Amérique","Scolopax minor","Charadriiformes","Scolopacidae","Scolopax","minor"
"133",375,2300,"Wilson's Snipe","Bécassine de Wilson","Gallinago delicata","Charadriiformes","Scolopacidae","Gallinago","delicata"
"134",377,2631,"Common Sandpiper","Chevalier guignette","Actitis hypoleucos","Charadriiformes","Scolopacidae","Actitis","hypoleucos"
"135",378,2630,"Spotted Sandpiper","Chevalier grivelé","Actitis macularius","Charadriiformes","Scolopacidae","Actitis","macularius"
"136",380,2560,"Solitary Sandpiper","Chevalier solitaire","Tringa solitaria","Charadriiformes","Scolopacidae","Tringa","solitaria"
"137",382,2590,"Wandering Tattler","Chevalier errant","Tringa incana","Charadriiformes","Scolopacidae","Tringa","incana"
"138",383,2550,"Lesser Yellowlegs","Petit Chevalier","Tringa flavipes","Charadriiformes","Scolopacidae","Tringa","flavipes"
"139",384,2555,"unid. Greater Yellowlegs / Lesser Yellowlegs","unid Grand Chevalier / Petit Chevalier","Tringa melanoleuca / flavipes","Charadriiformes","Scolopacidae","Tringa","melanoleuca / flavipes"
"140",385,2580,"Willet","Chevalier semipalmé","Tringa semipalmata","Charadriiformes","Scolopacidae","Tringa","semipalmata"
"141",387,2530,"Common Greenshank","Chevalier aboyeur","Tringa nebularia","Charadriiformes","Scolopacidae","Tringa","nebularia"
"142",388,2540,"Greater Yellowlegs","Grand Chevalier","Tringa melanoleuca","Charadriiformes","Scolopacidae","Tringa","melanoleuca"
"143",392,2240,"Wilson's Phalarope","Phalarope de Wilson","Phalaropus tricolor","Charadriiformes","Scolopacidae","Phalaropus","tricolor"
"144",393,2230,"Red-necked Phalarope","Phalarope à bec étroit","Phalaropus lobatus","Charadriiformes","Scolopacidae","Phalaropus","lobatus"
"145",398,360,"Pomarine Jaeger","Labbe pomarin","Stercorarius pomarinus","Charadriiformes","Stercorariidae","Stercorarius","pomarinus"
"146",399,370,"Parasitic Jaeger","Labbe parasite","Stercorarius parasiticus","Charadriiformes","Stercorariidae","Stercorarius","parasiticus"
"147",400,380,"Long-tailed Jaeger","Labbe à longue queue","Stercorarius longicaudus","Charadriiformes","Stercorariidae","Stercorarius","longicaudus"
"148",402,300,"Common Murre","Guillemot marmette","Uria aalge","Charadriiformes","Alcidae","Uria","aalge"
"149",403,310,"Thick-billed Murre","Guillemot de Brünnich","Uria lomvia","Charadriiformes","Alcidae","Uria","lomvia"
"150",404,315,"unid. Common Murre / Thick-billed Murre","unid Guillemot marmette / Guillemot de Brünnich","Uria aalge / lomvia","Charadriiformes","Laridae","Uria","aalge / lomvia"
"151",405,320,"Razorbill","Petit Pingouin","Alca torda","Charadriiformes","Alcidae","Alca","torda"
"152",406,270,"Black Guillemot","Guillemot à miroir","Cepphus grylle","Charadriiformes","Alcidae","Cepphus","grylle"
"153",407,290,"Pigeon Guillemot","Guillemot colombin","Cepphus columba","Charadriiformes","Alcidae","Cepphus","columba"
"154",409,230,"Marbled Murrelet","Guillemot marbré","Brachyramphus marmoratus","Charadriiformes","Alcidae","Brachyramphus","marmoratus"
"155",410,240,"Kittlitz's Murrelet","Guillemot de Kittlitz","Brachyramphus brevirostris","Charadriiformes","Alcidae","Brachyramphus","brevirostris"
"156",414,210,"Ancient Murrelet","Guillemot à cou blanc","Synthliboramphus antiquus","Charadriiformes","Alcidae","Synthliboramphus","antiquus"
"157",415,160,"Cassin's Auklet","Starique de Cassin","Ptychoramphus aleuticus","Charadriiformes","Alcidae","Ptychoramphus","aleuticus"
"158",420,150,"Rhinoceros Auklet","Macareux rhinocéros","Cerorhinca monocerata","Charadriiformes","Alcidae","Cerorhinca","monocerata"
"159",422,140,"Horned Puffin","Macareux cornu","Fratercula corniculata","Charadriiformes","Alcidae","Fratercula","corniculata"
"160",423,120,"Tufted Puffin","Macareux huppé","Fratercula cirrhata","Charadriiformes","Alcidae","Fratercula","cirrhata"
"161",425,400,"Black-legged Kittiwake","Mouette tridactyle","Rissa tridactyla","Charadriiformes","Laridae","Rissa","tridactyla"
"162",428,620,"Sabine's Gull","Mouette de Sabine","Xema sabini","Charadriiformes","Laridae","Xema","sabini"
"163",429,600,"Bonaparte's Gull","Mouette de Bonaparte","Chroicocephalus philadelphia","Charadriiformes","Laridae","Chroicocephalus","philadelphia"
